date,views
2016-05-06,2
2016-05-07,4
2016-05-08,4
2016-05-09,5
2016-05-10,1
2016-05-11,3
2016-05-12,3
2016-05-13,1
2016-05-14,5
2016-05-15,2
2016-05-16,8
2016-05-17,8
2016-05-18,4
2016-05-19,4
2016-05-20,4
2016-05-21,7
2016-05-22,4
2016-05-23,4
2016-05-24,2
2016-05-25,4
2016-05-26,6
2016-05-27,6
2016-05-28,6
2016-05-29,4
2016-05-30,3
2016-05-31,4
2016-06-01,13
2016-06-02,46
2016-06-03,33
2016-06-04,13
2016-06-05,13
2016-06-06,10
2016-06-07,11
2016-06-08,5
2016-06-09,4
2016-06-10,6
2016-06-11,6
2016-06-12,5
2016-06-13,8
2016-06-14,7
2016-06-15,6
2016-06-16,8
2016-06-17,3
2016-06-18,7
2016-06-19,4
2016-06-20,4
2016-06-21,4
2016-06-22,2
2016-06-23,15
2016-06-24,13
2016-06-25,14
2016-06-26,12
2016-06-27,9
2016-06-28,8
2016-06-29,12
2016-06-30,8
2016-07-01,11
2016-07-02,10
2016-07-03,11
2016-07-04,7
2016-07-05,8
2016-07-06,8
2016-07-07,4
2016-07-08,7
2016-07-09,6
2016-07-10,9
2016-07-11,6
2016-07-12,6
2016-07-13,5
2016-07-14,5
2016-07-15,7
2016-07-16,4
2016-07-17,5
2016-07-18,5
2016-07-19,4
2016-07-20,4
2016-07-21,5
2016-07-22,7
2016-07-23,2
2016-07-24,1
2016-07-25,11
2016-07-26,2
2016-07-27,8
2016-07-28,3
2016-07-29,4
2016-07-30,4
2016-07-31,3
2016-08-01,6
2016-08-02,8
2016-08-03,5
2016-08-04,5
2016-08-05,2
2016-08-06,5
2016-08-07,3
2016-08-08,8
2016-08-09,3
2016-08-10,2
2016-08-11,6
2016-08-12,3
2016-08-13,4
2016-08-14,3
2016-08-15,4
2016-08-16,1
2016-08-17,4
2016-08-18,11
2016-08-19,24
2016-08-20,11
2016-08-21,3
2016-08-22,10
2016-08-23,7
2016-08-24,16
2016-08-25,10
2016-08-26,12
2016-08-27,6
2016-08-28,9
2016-08-29,7
2016-08-30,8
2016-08-31,10
2016-09-01,7
2016-09-02,6
2016-09-03,5
2016-09-04,3
2016-09-05,10
2016-09-06,16
2016-09-07,3
2016-09-08,6
2016-09-09,9
2016-09-10,9
2016-09-11,6
2016-09-12,11
2016-09-13,3
2016-09-14,7
2016-09-15,6
2016-09-16,4
2016-09-17,4
2016-09-18,6
2016-09-19,9
2016-09-20,6
2016-09-21,7
2016-09-22,7
2016-09-23,2
2016-09-24,7
2016-09-25,9
2016-09-26,2
2016-09-27,5
2016-09-28,3
2016-09-29,15
2016-09-30,12
2016-10-01,12
2016-10-02,3
2016-10-03,9
2016-10-04,4
2016-10-05,9
2016-10-06,9
2016-10-07,6
2016-10-08,3
2016-10-09,3
2016-10-10,4
2016-10-11,4
2016-10-12,6
2016-10-13,6
2016-10-14,6
2016-10-15,6
2016-10-16,7
2016-10-17,3
2016-10-18,9
2016-10-19,14
2016-10-20,5
2016-10-21,5
2016-10-22,7
2016-10-23,5
2016-10-24,8
2016-10-25,6
2016-10-26,4
2016-10-27,8
2016-10-28,5
2016-10-29,7
2016-10-30,8
2016-10-31,5
2016-11-01,6
2016-11-02,7
2016-11-03,4
2016-11-04,6
2016-11-05,4
2016-11-06,4
2016-11-07,3
2016-11-08,2
2016-11-09,3
2016-11-10,6
2016-11-11,8
2016-11-12,8
2016-11-13,2
2016-11-14,8
2016-11-15,5
2016-11-16,6
2016-11-17,5
2016-11-18,4
2016-11-19,9
2016-11-20,3
2016-11-21,6
2016-11-22,3
2016-11-23,37
2016-11-24,34
2016-11-25,27
2016-11-26,20
2016-11-27,14
2016-11-28,16
2016-11-29,19
2016-11-30,12
2016-12-01,9
2016-12-02,7
2016-12-03,4
2016-12-04,6
2016-12-05,3
2016-12-06,5
2016-12-07,9
2016-12-08,4
2016-12-09,5
2016-12-10,11
2016-12-11,6
2016-12-12,7
2016-12-13,12
2016-12-14,7
2016-12-15,2
2016-12-16,10
2016-12-17,2
2016-12-18,8
2016-12-19,5
2016-12-20,4
2016-12-21,4
2016-12-22,24
