date,views
2021-12-02,3841
2021-12-03,2883
2021-12-04,2579
2021-12-05,2664
2021-12-06,2921
2021-12-07,2713
2021-12-08,2665
2021-12-09,2609
2021-12-10,2186
2021-12-11,2268
2021-12-12,2257
2021-12-13,2656
2021-12-14,2664
2021-12-15,2597
2021-12-16,2991
2021-12-17,2445
2021-12-18,2424
2021-12-19,2347
2021-12-20,2856
2021-12-21,2781
2021-12-22,2892
2021-12-23,5487
2021-12-24,2288
2021-12-25,2094
2021-12-26,2346
2021-12-27,2807
2021-12-28,2815
2021-12-29,2634
2021-12-30,2707
2021-12-31,1886
2022-01-01,1890
2022-01-02,2341
2022-01-03,2598
2022-01-04,3035
2022-01-05,2921
2022-01-06,2986
2022-01-07,2651
2022-01-08,2652
2022-01-09,2673
2022-01-10,3042
2022-01-11,3147
2022-01-12,3189
2022-01-13,3035
2022-01-14,2153
2022-01-15,2172
2022-01-16,2059
2022-01-17,2423
2022-01-18,2398
2022-01-19,2627
2022-01-20,3003
2022-01-21,2035
2022-01-22,2168
2022-01-23,2036
2022-01-24,2304
2022-01-25,2183
2022-01-26,2028
2022-01-27,2104
2022-01-28,1831
2022-01-29,1883
2022-01-30,1753
2022-01-31,1853
2022-02-01,1669
2022-02-02,1624
2022-02-03,1568
2022-02-04,1488
2022-02-05,1289
2022-02-06,1307
2022-02-07,1687
2022-02-08,1710
2022-02-09,1546
2022-02-10,1504
2022-02-11,1250
2022-02-12,1252
2022-02-13,1107
2022-02-14,1152
2022-02-15,1244
2022-02-16,1256
2022-02-17,1217
2022-02-18,1145
2022-02-19,1071
2022-02-20,1071
2022-02-21,1271
2022-02-22,1175
2022-02-23,1114
2022-02-24,1098
2022-02-25,898
2022-02-26,1067
2022-02-27,887
2022-02-28,897
2022-03-01,851
2022-03-02,916
2022-03-03,935
2022-03-04,810
2022-03-05,821
2022-03-06,838
2022-03-07,820
2022-03-08,848
2022-03-09,763
2022-03-10,816
2022-03-11,728
2022-03-12,693
2022-03-13,673
2022-03-14,867
2022-03-15,831
2022-03-16,823
2022-03-17,762
2022-03-18,740
2022-03-19,701
2022-03-20,730
2022-03-21,848
2022-03-22,835
2022-03-23,911
2022-03-24,985
2022-03-25,741
2022-03-26,584
2022-03-27,671
2022-03-28,816
2022-03-29,768
2022-03-30,825
2022-03-31,739
2022-04-01,773
2022-04-02,595
2022-04-03,546
2022-04-04,618
2022-04-05,683
2022-04-06,603
2022-04-07,678
2022-04-08,583
2022-04-09,633
2022-04-10,654
2022-04-11,692
2022-04-12,744
2022-04-13,728
2022-04-14,585
2022-04-15,582
2022-04-16,524
2022-04-17,599
2022-04-18,666
2022-04-19,763
2022-04-20,763
2022-04-21,730
2022-04-22,804
2022-04-23,686
2022-04-24,672
2022-04-25,684
2022-04-26,806
2022-04-27,817
2022-04-28,664
2022-04-29,653
2022-04-30,614
2022-05-01,1284
2022-05-02,635
2022-05-03,1375
2022-05-04,1382
2022-05-05,691
2022-05-06,770
2022-05-07,655
2022-05-08,554
2022-05-09,714
2022-05-10,1394
2022-05-11,725
2022-05-12,719
2022-05-13,629
2022-05-14,518
2022-05-15,582
2022-05-16,607
2022-05-17,714
2022-05-18,718
2022-05-19,734
2022-05-20,727
2022-05-21,662
2022-05-22,780
2022-05-23,853
2022-05-24,805
2022-05-25,681
2022-05-26,683
2022-05-27,571
2022-05-28,559
2022-05-29,703
2022-05-30,664
2022-05-31,577
2022-06-01,612
2022-06-02,673
2022-06-03,557
2022-06-04,516
2022-06-05,809
2022-06-06,709
2022-06-07,679
2022-06-08,624
2022-06-09,588
2022-06-10,538
2022-06-11,570
2022-06-12,519
2022-06-13,613
2022-06-14,778
2022-06-15,719
2022-06-16,638
2022-06-17,552
2022-06-18,510
2022-06-19,462
2022-06-20,484
2022-06-21,561
2022-06-22,639
2022-06-23,583
2022-06-24,525
2022-06-25,445
2022-06-26,489
2022-06-27,565
2022-06-28,552
2022-06-29,557
2022-06-30,594
2022-07-01,521
2022-07-02,502
2022-07-03,490
2022-07-04,550
2022-07-05,528
2022-07-06,720
2022-07-07,567
2022-07-08,550
2022-07-09,510
2022-07-10,467
2022-07-11,587
2022-07-12,597
2022-07-13,620
2022-07-14,793
2022-07-15,580
2022-07-16,589
2022-07-17,539
2022-07-18,770
2022-07-19,615
2022-07-20,625
2022-07-21,639
2022-07-22,706
2022-07-23,498
2022-07-24,541
2022-07-25,612
2022-07-26,554
2022-07-27,594
2022-07-28,598
2022-07-29,551
2022-07-30,464
2022-07-31,421
2022-08-01,548
2022-08-02,507
2022-08-03,576
2022-08-04,628
2022-08-05,670
2022-08-06,486
2022-08-07,441
2022-08-08,529
2022-08-09,528
2022-08-10,514
2022-08-11,477
2022-08-12,448
2022-08-13,372
2022-08-14,392
2022-08-15,625
2022-08-16,534
2022-08-17,546
2022-08-18,566
2022-08-19,532
2022-08-20,694
2022-08-21,438
2022-08-22,472
2022-08-23,619
2022-08-24,513
2022-08-25,471
2022-08-26,562
2022-08-27,442
2022-08-28,397
2022-08-29,472
2022-08-30,449
2022-08-31,391
2022-09-01,459
2022-09-02,394
2022-09-03,465
2022-09-04,407
2022-09-05,494
2022-09-06,485
2022-09-07,503
2022-09-08,490
2022-09-09,453
2022-09-10,401
2022-09-11,398
2022-09-12,445
2022-09-13,532
2022-09-14,570
2022-09-15,536
2022-09-16,531
2022-09-17,368
2022-09-18,516
2022-09-19,543
2022-09-20,534
2022-09-21,581
2022-09-22,691
2022-09-23,452
2022-09-24,396
2022-09-25,478
2022-09-26,524
2022-09-27,484
2022-09-28,531
2022-09-29,654
2022-09-30,613
2022-10-01,487
2022-10-02,462
2022-10-03,461
2022-10-04,452
2022-10-05,437
2022-10-06,601
2022-10-07,433
2022-10-08,618
2022-10-09,595
2022-10-10,616
2022-10-11,551
2022-10-12,573
2022-10-13,564
2022-10-14,541
2022-10-15,496
2022-10-16,516
2022-10-17,523
2022-10-18,571
2022-10-19,542
2022-10-20,538
2022-10-21,565
2022-10-22,524
2022-10-23,446
2022-10-24,471
2022-10-25,515
2022-10-26,494
2022-10-27,557
2022-10-28,614
2022-10-29,510
2022-10-30,514
2022-10-31,615
2022-11-01,654
2022-11-02,816
2022-11-03,616
2022-11-04,514
2022-11-05,475
2022-11-06,473
2022-11-07,575
2022-11-08,607
2022-11-09,489
2022-11-10,412
2022-11-11,472
2022-11-12,387
2022-11-13,386
2022-11-14,456
2022-11-15,475
2022-11-16,459
2022-11-17,496
2022-11-18,380
2022-11-19,371
2022-11-20,348
2022-11-21,467
2022-11-22,470
2022-11-23,463
2022-11-24,479
2022-11-25,475
2022-11-26,397
2022-11-27,390
2022-11-28,581
2022-11-29,667
2022-11-30,588
2022-12-01,525
2022-12-02,377
