date,views
2018-04-09,49
2018-04-10,50
2018-04-11,47
2018-04-12,44
2018-04-13,58
2018-04-14,91
2018-04-15,73
2018-04-16,51
2018-04-17,128
2018-04-18,87
2018-04-19,88
2018-04-20,82
2018-04-21,98
2018-04-22,94
2018-04-23,64
2018-04-24,95
2018-04-25,68
2018-04-26,61
2018-04-27,97
2018-04-28,87
2018-04-29,102
2018-04-30,82
2018-05-01,91
2018-05-02,86
2018-05-03,94
2018-05-04,67
2018-05-05,78
2018-05-06,97
2018-05-07,88
2018-05-08,56
2018-05-09,64
2018-05-10,52
2018-05-11,74
2018-05-12,87
2018-05-13,80
2018-05-14,67
2018-05-15,62
2018-05-16,96
2018-05-17,58
2018-05-18,86
2018-05-19,80
2018-05-20,80
2018-05-21,62
2018-05-22,73
2018-05-23,99
2018-05-24,73
2018-05-25,65
2018-05-26,75
2018-05-27,57
2018-05-28,75
2018-05-29,93
2018-05-30,70
2018-05-31,73
2018-06-01,72
2018-06-02,72
2018-06-03,83
2018-06-04,76
2018-06-05,84
2018-06-06,65
2018-06-07,84
2018-06-08,86
2018-06-09,87
2018-06-10,74
2018-06-11,59
2018-06-12,60
2018-06-13,66
2018-06-14,63
2018-06-15,69
2018-06-16,73
2018-06-17,80
2018-06-18,51
2018-06-19,57
2018-06-20,62
2018-06-21,72
2018-06-22,46
2018-06-23,76
2018-06-24,106
2018-06-25,80
2018-06-26,70
2018-06-27,61
2018-06-28,80
2018-06-29,61
2018-06-30,74
2018-07-01,83
2018-07-02,75
2018-07-03,70
2018-07-04,55
2018-07-05,54
2018-07-06,146
2018-07-07,79
2018-07-08,62
2018-07-09,62
2018-07-10,70
2018-07-11,87
2018-07-12,76
2018-07-13,52
2018-07-14,95
2018-07-15,93
2018-07-16,65
2018-07-17,94
2018-07-18,96
2018-07-19,86
2018-07-20,70
2018-07-21,72
2018-07-22,83
2018-07-23,70
2018-07-24,51
2018-07-25,85
2018-07-26,67
2018-07-27,77
2018-07-28,72
2018-07-29,71
2018-07-30,71
2018-07-31,80
2018-08-01,67
2018-08-02,65
2018-08-03,70
2018-08-04,81
2018-08-05,63
2018-08-06,77
2018-08-07,81
2018-08-08,58
2018-08-09,60
2018-08-10,66
2018-08-11,81
2018-08-12,87
2018-08-13,81
2018-08-14,69
2018-08-15,55
2018-08-16,59
2018-08-17,63
2018-08-18,73
2018-08-19,89
2018-08-20,79
2018-08-21,61
2018-08-22,69
2018-08-23,76
2018-08-24,94
2018-08-25,77
2018-08-26,89
2018-08-27,69
2018-08-28,85
2018-08-29,66
2018-08-30,86
2018-08-31,69
2018-09-01,100
2018-09-02,92
2018-09-03,91
2018-09-04,82
2018-09-05,89
2018-09-06,99
2018-09-07,90
2018-09-08,129
2018-09-09,131
2018-09-10,100
2018-09-11,85
2018-09-12,74
2018-09-13,98
2018-09-14,95
2018-09-15,140
2018-09-16,116
2018-09-17,95
2018-09-18,92
2018-09-19,89
2018-09-20,104
2018-09-21,106
2018-09-22,145
2018-09-23,126
2018-09-24,112
2018-09-25,77
2018-09-26,86
2018-09-27,75
2018-09-28,100
2018-09-29,123
2018-09-30,147
2018-10-01,118
2018-10-02,91
2018-10-03,106
2018-10-04,132
2018-10-05,123
2018-10-06,139
2018-10-07,133
2018-10-08,128
2018-10-09,128
2018-10-10,86
2018-10-11,96
2018-10-12,101
2018-10-13,158
2018-10-14,145
2018-10-15,91
2018-10-16,108
2018-10-17,90
2018-10-18,88
2018-10-19,103
2018-10-20,130
2018-10-21,144
2018-10-22,114
2018-10-23,120
2018-10-24,85
2018-10-25,237
2018-10-26,279
2018-10-27,274
2018-10-28,229
2018-10-29,140
2018-10-30,190
2018-10-31,153
2018-11-01,122
2018-11-02,105
2018-11-03,178
2018-11-04,150
2018-11-05,101
2018-11-06,107
2018-11-07,78
2018-11-08,100
2018-11-09,87
2018-11-10,132
2018-11-11,92
2018-11-12,74
2018-11-13,90
2018-11-14,53
2018-11-15,75
2018-11-16,105
2018-11-17,123
2018-11-18,112
2018-11-19,85
2018-11-20,93
2018-11-21,124
2018-11-22,93
2018-11-23,125
2018-11-24,93
2018-11-25,105
2018-11-26,66
2018-11-27,73
2018-11-28,68
2018-11-29,78
2018-11-30,72
2018-12-01,113
2018-12-02,88
2018-12-03,77
2018-12-04,67
2018-12-05,77
2018-12-06,71
2018-12-07,148
2018-12-08,137
2018-12-09,127
2018-12-10,91
2018-12-11,77
2018-12-12,70
2018-12-13,79
2018-12-14,57
2018-12-15,79
2018-12-16,96
2018-12-17,79
2018-12-18,67
2018-12-19,68
2018-12-20,65
2018-12-21,75
2018-12-22,98
2018-12-23,77
2018-12-24,70
2018-12-25,94
2018-12-26,108
2018-12-27,103
2018-12-28,99
2018-12-29,119
2018-12-30,105
2018-12-31,87
2019-01-01,112
2019-01-02,109
2019-01-03,118
2019-01-04,102
2019-01-05,137
2019-01-06,165
2019-01-07,101
2019-01-08,110
2019-01-09,135
2019-01-10,99
2019-01-11,124
2019-01-12,163
2019-01-13,141
2019-01-14,142
2019-01-15,93
2019-01-16,107
2019-01-17,107
2019-01-18,123
2019-01-19,160
2019-01-20,173
2019-01-21,153
2019-01-22,89
2019-01-23,129
2019-01-24,133
2019-01-25,128
2019-01-26,166
2019-01-27,163
2019-01-28,151
2019-01-29,109
2019-01-30,124
2019-01-31,136
2019-02-01,199
2019-02-02,196
2019-02-03,156
2019-02-04,120
2019-02-05,115
2019-02-06,118
2019-02-07,124
2019-02-08,106
2019-02-09,179
2019-02-10,177
2019-02-11,108
2019-02-12,112
2019-02-13,109
2019-02-14,101
2019-02-15,124
2019-02-16,159
2019-02-17,256
2019-02-18,209
2019-02-19,148
2019-02-20,137
2019-02-21,222
2019-02-22,165
2019-02-23,211
2019-02-24,210
2019-02-25,128
2019-02-26,103
2019-02-27,134
2019-02-28,133
2019-03-01,139
2019-03-02,211
2019-03-03,185
2019-03-04,142
2019-03-05,139
2019-03-06,172
2019-03-07,169
2019-03-08,170
2019-03-09,286
2019-03-10,224
2019-03-11,153
2019-03-12,192
2019-03-13,156
2019-03-14,162
2019-03-15,169
2019-03-16,247
2019-03-17,269
2019-03-18,154
2019-03-19,158
2019-03-20,181
2019-03-21,150
2019-03-22,152
2019-03-23,189
2019-03-24,242
2019-03-25,147
2019-03-26,145
2019-03-27,152
2019-03-28,163
2019-03-29,163
2019-03-30,245
2019-03-31,238
2019-04-01,188
2019-04-02,170
2019-04-03,173
2019-04-04,173
2019-04-05,191
2019-04-06,274
2019-04-07,288
2019-04-08,206
2019-04-09,245
2019-04-10,181
2019-04-11,192
2019-04-12,215
2019-04-13,322
2019-04-14,296
2019-04-15,195
2019-04-16,187
2019-04-17,202
2019-04-18,190
2019-04-19,343
2019-04-20,266
2019-04-21,222
2019-04-22,179
2019-04-23,190
2019-04-24,195
2019-04-25,203
2019-04-26,193
2019-04-27,299
2019-04-28,251
2019-04-29,185
2019-04-30,206
2019-05-01,193
2019-05-02,238
2019-05-03,230
2019-05-04,298
2019-05-05,271
2019-05-06,212
2019-05-07,216
2019-05-08,218
2019-05-09,222
2019-05-10,192
2019-05-11,297
2019-05-12,246
2019-05-13,193
2019-05-14,162
2019-05-15,162
2019-05-16,175
2019-05-17,184
2019-05-18,289
2019-05-19,228
2019-05-20,174
2019-05-21,158
2019-05-22,197
2019-05-23,221
2019-05-24,206
2019-05-25,241
2019-05-26,279
2019-05-27,242
2019-05-28,221
2019-05-29,204
2019-05-30,204
2019-05-31,259
2019-06-01,254
2019-06-02,215
2019-06-03,200
2019-06-04,219
2019-06-05,189
2019-06-06,239
2019-06-07,243
2019-06-08,293
2019-06-09,265
2019-06-10,284
2019-06-11,236
2019-06-12,220
2019-06-13,196
2019-06-14,262
2019-06-15,256
2019-06-16,255
2019-06-17,179
2019-06-18,228
2019-06-19,224
2019-06-20,238
2019-06-21,328
2019-06-22,284
2019-06-23,242
2019-06-24,245
2019-06-25,226
2019-06-26,236
2019-06-27,304
2019-06-28,269
2019-06-29,297
2019-06-30,275
2019-07-01,245
2019-07-02,390
2019-07-03,308
2019-07-04,221
2019-07-05,247
2019-07-06,301
2019-07-07,280
2019-07-08,314
2019-07-09,351
2019-07-10,856
2019-07-11,701
2019-07-12,646
2019-07-13,608
2019-07-14,704
2019-07-15,473
2019-07-16,397
2019-07-17,364
2019-07-18,348
2019-07-19,360
2019-07-20,316
2019-07-21,293
2019-07-22,299
2019-07-23,246
2019-07-24,245
2019-07-25,326
2019-07-26,288
