date,views
2018-03-06,1
2018-03-07,1
2018-03-08,2
2018-03-10,2
2018-03-12,3
2018-03-13,1
2018-03-14,2
2018-03-15,5
2018-03-17,2
2018-03-18,1
2018-03-19,9
2018-03-20,2
2018-03-23,1
2018-03-24,3
2018-03-25,2
2018-03-26,3
2018-03-27,1
2018-03-28,9
2018-03-29,3
2018-03-30,4
2018-03-31,2
2018-04-01,2
2018-04-02,1
2018-04-03,1
2018-04-06,3
2018-04-07,2
2018-04-10,4
2018-04-11,1
2018-04-12,4
2018-04-14,1
2018-04-16,1
2018-04-20,2
2018-04-22,1
2018-04-23,1
2018-04-25,1
2018-04-26,4
2018-04-27,4
2018-04-28,1
2018-04-29,2
2018-04-30,4
2018-05-01,1
2018-05-02,6
2018-05-03,5
2018-05-04,5
2018-05-05,2
2018-05-06,5
2018-05-07,2
2018-05-08,3
2018-05-10,2
2018-05-11,1
2018-05-12,4
2018-05-13,4
2018-05-14,1
2018-05-15,2
2018-05-17,4
2018-05-18,5
2018-05-19,5
2018-05-20,6
2018-05-21,4
2018-05-22,4
2018-05-23,6
2018-05-24,2
2018-05-26,3
2018-05-27,3
2018-05-28,3
2018-05-29,3
2018-05-30,3
2018-05-31,3
2018-06-01,3
2018-06-02,4
2018-06-03,1
2018-06-04,41
2018-06-05,5
2018-06-06,4
2018-06-07,7
2018-06-08,8
2018-06-09,5
2018-06-10,5
2018-06-11,7
2018-06-12,9
2018-06-13,7
2018-06-14,9
2018-06-15,6
2018-06-16,2
2018-06-17,2
2018-06-18,4
2018-06-19,5
2018-06-20,6
2018-06-21,11
2018-06-22,4
2018-06-23,6
2018-06-24,4
2018-06-25,2
2018-06-26,7
2018-06-27,2
2018-06-28,3
2018-06-29,1
2018-06-30,3
2018-07-01,1
2018-07-02,5
2018-07-03,3
2018-07-04,5
2018-07-05,4
2018-07-06,6
2018-07-07,8
2018-07-08,2
2018-07-09,4
2018-07-10,5
2018-07-11,2
2018-07-12,6
2018-07-13,10
2018-07-14,3
2018-07-15,4
2018-07-16,1
2018-07-17,3
2018-07-18,5
2018-07-19,3
2018-07-20,3
2018-07-21,2
2018-07-22,3
2018-07-23,7
2018-07-24,10
2018-07-25,8
2018-07-26,1
2018-07-27,2
2018-07-28,2
2018-07-29,3
2018-07-30,3
2018-07-31,3
2018-08-01,5
2018-08-02,6
2018-08-03,4
2018-08-04,2
2018-08-05,4
2018-08-06,4
2018-08-07,2
2018-08-08,1
2018-08-09,5
2018-08-10,7
2018-08-11,7
2018-08-12,4
2018-08-13,5
2018-08-14,11
2018-08-15,3
2018-08-16,6
2018-08-17,2
2018-08-18,9
2018-08-19,13
2018-08-20,5
2018-08-21,10
2018-08-22,4
2018-08-23,2
2018-08-24,6
2018-08-25,4
2018-08-27,6
2018-08-28,4
2018-08-29,5
2018-08-30,5
2018-08-31,3
2018-09-01,3
2018-09-02,1
